node_ids timestamps population
0 3000.8411446146415 EUS_aff_virt
0 18300.810545078355 EUS_aff_virt
0 22947.23678182319 EUS_aff_virt
0 25478.212263601923 EUS_aff_virt
0 30593.70905229795 EUS_aff_virt
0 31496.61011539353 EUS_aff_virt
0 32446.928944497482 EUS_aff_virt
0 34089.801312016854 EUS_aff_virt
0 50172.3780510451 EUS_aff_virt
0 50280.14832682783 EUS_aff_virt
1 9768.417974494088 EUS_aff_virt
1 12552.57379338052 EUS_aff_virt
1 17155.276124160395 EUS_aff_virt
1 26443.256644021887 EUS_aff_virt
1 28967.171639923065 EUS_aff_virt
1 46687.41385506214 EUS_aff_virt
2 6359.251683199904 EUS_aff_virt
2 22223.41659167989 EUS_aff_virt
2 24770.4066114812 EUS_aff_virt
2 53876.12396187085 EUS_aff_virt
2 58704.00809306938 EUS_aff_virt
2 59986.173396016355 EUS_aff_virt
3 1551.5048470486656 EUS_aff_virt
3 14187.741939353842 EUS_aff_virt
3 31383.973423406394 EUS_aff_virt
3 34681.38250755577 EUS_aff_virt
3 37076.97898136252 EUS_aff_virt
3 40879.830380023675 EUS_aff_virt
3 53409.355558102994 EUS_aff_virt
3 53903.213977689964 EUS_aff_virt
3 55847.36825113749 EUS_aff_virt
3 57617.537978110624 EUS_aff_virt
4 1074.5352596468001 EUS_aff_virt
4 8918.782233041326 EUS_aff_virt
4 18098.36803947199 EUS_aff_virt
4 20209.972401254232 EUS_aff_virt
4 40869.03991130792 EUS_aff_virt
5 13408.679389218603 EUS_aff_virt
5 32321.97092101674 EUS_aff_virt
5 39321.365159459325 EUS_aff_virt
5 40176.54756877731 EUS_aff_virt
5 45395.02427629559 EUS_aff_virt
5 52279.4975247079 EUS_aff_virt
5 53953.00231159407 EUS_aff_virt
6 16392.94527704588 EUS_aff_virt
6 23258.584878548132 EUS_aff_virt
6 42030.4350713208 EUS_aff_virt
7 24094.158094042185 EUS_aff_virt
7 26737.269898234546 EUS_aff_virt
7 31540.13323034008 EUS_aff_virt
7 37244.10602771715 EUS_aff_virt
7 37564.78063689214 EUS_aff_virt
7 41456.63811180811 EUS_aff_virt
7 43103.27128632743 EUS_aff_virt
7 44468.75198989842 EUS_aff_virt
8 8816.83976411443 EUS_aff_virt
8 14744.305326952719 EUS_aff_virt
8 30824.215175685855 EUS_aff_virt
8 34516.325280758494 EUS_aff_virt
8 42611.47459873215 EUS_aff_virt
8 44919.61438242409 EUS_aff_virt
9 2606.8701663486245 EUS_aff_virt
9 34918.85441162059 EUS_aff_virt
9 46777.873124941914 EUS_aff_virt
9 51830.76841554907 EUS_aff_virt
9 59312.321506202636 EUS_aff_virt
10 2038.2282610214133 EUS_aff_virt
10 13287.947509907672 EUS_aff_virt
10 22355.382999148227 EUS_aff_virt
10 35022.332305101256 EUS_aff_virt
11 143.903840091815 EUS_aff_virt
11 19410.261101016695 EUS_aff_virt
11 23671.796900262714 EUS_aff_virt
11 25089.94439547702 EUS_aff_virt
11 46585.24952272969 EUS_aff_virt
11 56194.702955776156 EUS_aff_virt
12 1223.7935110533542 EUS_aff_virt
12 5249.434946056788 EUS_aff_virt
12 8944.741262126729 EUS_aff_virt
12 11905.797280768376 EUS_aff_virt
12 18855.90513869799 EUS_aff_virt
12 38472.25593327847 EUS_aff_virt
12 46311.453097037986 EUS_aff_virt
12 58296.05279996339 EUS_aff_virt
13 8179.5873509765315 EUS_aff_virt
13 12153.650656516973 EUS_aff_virt
13 13481.575007434418 EUS_aff_virt
13 22020.414679951045 EUS_aff_virt
13 23118.370177994504 EUS_aff_virt
13 25475.0118702687 EUS_aff_virt
13 36953.8406702315 EUS_aff_virt
13 40044.607756535595 EUS_aff_virt
13 48837.67698311179 EUS_aff_virt
13 52207.644590025484 EUS_aff_virt
13 59634.56274125384 EUS_aff_virt
14 8742.328330647655 EUS_aff_virt
14 31081.836376430532 EUS_aff_virt
14 39167.9335725921 EUS_aff_virt
14 43983.016742805376 EUS_aff_virt
14 47517.04692566553 EUS_aff_virt
14 55400.13191271156 EUS_aff_virt
15 3636.9160564779563 EUS_aff_virt
15 6806.01170066948 EUS_aff_virt
