node_ids timestamps
0 1032.0
0 2089.0
0 3079.0
0 4107.0
0 5159.0
0 6223.0
0 7184.0
0 8171.0
0 9181.0
0 10192.0
0 11187.0
0 12212.0
0 13181.0
0 14212.0
0 15235.0
0 16215.0
0 17218.0
0 18263.0
0 19265.0
0 20194.0
0 21203.0
0 22195.0
0 23191.0
0 24171.0
0 25181.0
0 26205.0
0 27165.0
0 28161.0
0 29110.0
0 30198.0
0 31235.0
0 32248.0
0 33213.0
0 34215.0
0 35254.0
0 36259.0
0 37243.0
0 38266.0
0 39286.0
0 40285.0
0 41305.0
0 42347.0
0 43367.0
0 44352.0
0 45359.0
0 46378.0
0 47417.0
0 48443.0
0 49461.0
0 59957.0
1 1023.0
1 1986.0
1 3008.0
1 3980.0
1 4975.0
1 5965.0
1 6929.0
1 7964.0
1 8933.0
1 9957.0
1 10939.0
1 11901.0
1 12854.0
1 13899.0
1 14862.0
1 15854.0
1 16804.0
1 17872.0
1 18806.0
1 19719.0
1 20752.0
1 21819.0
1 22870.0
1 23901.0
1 24857.0
1 25794.0
1 26846.0
1 27875.0
1 28894.0
1 29880.0
1 30913.0
1 31912.0
1 32893.0
1 33894.0
1 34888.0
1 35868.0
1 36840.0
1 37868.0
1 38872.0
1 39870.0
1 40848.0
1 41824.0
1 42797.0
1 43776.0
1 44723.0
1 45747.0
1 46797.0
1 47830.0
1 48853.0
1 49861.0
1 60000.0
2 986.0
2 1963.0
2 2983.0
2 3929.0
2 4933.0
2 5900.0
2 6920.0
2 7916.0
2 8908.0
2 9903.0
2 10948.0
2 11941.0
2 12963.0
2 13926.0
2 14905.0
2 15883.0
2 16972.0
2 17938.0
2 18927.0
2 19930.0
2 20928.0
2 21963.0
2 22889.0
2 23845.0
2 24836.0
2 25881.0
2 26911.0
2 27923.0
2 28897.0
2 29897.0
2 30945.0
2 31972.0
2 32937.0
2 33932.0
2 34927.0
2 35999.0
2 37048.0
2 38032.0
2 39023.0
2 40018.0
2 40984.0
2 41976.0
2 42949.0
2 44031.0
2 45048.0
2 46007.0
2 47065.0
2 48045.0
2 49087.0
3 943.0
3 1988.0
3 2998.0
3 3991.0
3 4969.0
3 5969.0
3 6943.0
3 7957.0
3 8968.0
3 10010.0
3 10995.0
3 12036.0
3 13047.0
3 14027.0
3 15020.0
3 16077.0
3 17078.0
3 18075.0
3 19095.0
3 20132.0
3 21144.0
3 22124.0
3 23080.0
3 24130.0
3 25145.0
3 26148.0
3 27138.0
3 28157.0
3 29138.0
3 30146.0
3 31134.0
3 32129.0
3 33164.0
3 34171.0
3 35226.0
3 36234.0
3 37208.0
3 38271.0
3 39301.0
3 40293.0
3 41290.0
3 42341.0
3 43384.0
3 44384.0
3 45380.0
3 46357.0
3 47332.0
3 48313.0
3 49295.0
3 59837.0
4 996.0
4 1982.0
4 2949.0
4 3975.0
4 4945.0
4 5909.0
4 6892.0
4 7889.0
4 8883.0
4 9899.0
4 10845.0
4 11861.0
4 12836.0
4 13837.0
4 14818.0
4 15840.0
4 16825.0
4 17882.0
4 18834.0
4 19854.0
4 20857.0
4 21886.0
4 22864.0
4 23869.0
4 24885.0
4 25862.0
4 26853.0
4 27851.0
4 28817.0
4 29720.0
4 30756.0
4 31784.0
4 32857.0
4 33909.0
4 34904.0
4 35936.0
4 36939.0
4 37935.0
4 38958.0
4 39985.0
4 40959.0
4 41956.0
4 42919.0
4 43887.0
4 44850.0
4 45822.0
4 46852.0
4 47900.0
4 48923.0
4 49953.0
5 952.0
5 1954.0
5 2913.0
5 3895.0
5 4889.0
5 5878.0
5 6845.0
5 7824.0
5 8854.0
5 9866.0
5 10907.0
5 11892.0
5 12875.0
5 13933.0
5 14923.0
5 15911.0
5 16993.0
5 17948.0
5 18953.0
5 19910.0
5 20882.0
5 21885.0
5 22851.0
5 23882.0
5 24921.0
5 25968.0
5 26939.0
5 27923.0
5 28894.0
5 29881.0
5 30866.0
5 31866.0
5 32927.0
5 33925.0
5 34946.0
5 35958.0
5 36994.0
5 38023.0
5 39032.0
5 40046.0
5 41015.0
5 42023.0
5 42994.0
5 44012.0
5 44988.0
5 45997.0
5 46977.0
5 47954.0
5 48991.0
5 49995.0
5 59870.0
6 940.0
6 1901.0
6 2900.0
6 3865.0
6 4818.0
6 5804.0
6 6795.0
6 7806.0
6 8801.0
6 9823.0
6 10776.0
6 11764.0
6 12811.0
6 13861.0
6 14834.0
6 15851.0
6 16773.0
6 17733.0
6 18739.0
6 19715.0
6 20698.0
6 21690.0
6 22723.0
6 23753.0
6 24696.0
6 25669.0
6 26670.0
6 27699.0
6 28636.0
6 29675.0
6 30657.0
6 31653.0
6 32640.0
