timestamps population node_ids
38042.72303510224 Bladaff 0
38170.22248080749 Bladaff 0
39363.091821772025 Bladaff 0
39646.30799269312 Bladaff 0
39858.722694475364 Bladaff 0
39877.728277231465 Bladaff 0
40062.77350887897 Bladaff 0
40183.88383826893 Bladaff 0
40202.57779513086 Bladaff 0
40225.102471693994 Bladaff 0
40246.11594553712 Bladaff 0
40336.43325056641 Bladaff 0
40337.40962109327 Bladaff 0
40522.96675881572 Bladaff 0
41125.910271753986 Bladaff 0
41224.15920437574 Bladaff 0
41228.10143022738 Bladaff 0
41888.050470070804 Bladaff 0
42089.952702556824 Bladaff 0
42155.18607742493 Bladaff 0
42222.43462254306 Bladaff 0
42251.46729963709 Bladaff 0
42278.915138637974 Bladaff 0
42420.38530050796 Bladaff 0
42546.788532441606 Bladaff 0
42866.98137445631 Bladaff 0
42875.72425450903 Bladaff 0
42877.502477438866 Bladaff 0
43156.74535716532 Bladaff 0
43257.7826247475 Bladaff 0
43314.49789040873 Bladaff 0
43418.551582348395 Bladaff 0
43736.48292486001 Bladaff 0
43773.37949222977 Bladaff 0
43897.055935375225 Bladaff 0
44065.709031271836 Bladaff 0
44339.69685837006 Bladaff 0
44480.33718370511 Bladaff 0
44524.02983259968 Bladaff 0
44549.81569430478 Bladaff 0
44604.59592651219 Bladaff 0
44662.06367332361 Bladaff 0
44762.47114802393 Bladaff 0
45056.64801642195 Bladaff 0
45228.98942520746 Bladaff 0
45236.11027323543 Bladaff 0
45300.0465435369 Bladaff 0
45399.72315260109 Bladaff 0
45513.76175969461 Bladaff 0
45768.96016491725 Bladaff 0
45878.743614418054 Bladaff 0
45928.67095758201 Bladaff 0
45966.99097102457 Bladaff 0
46036.296556765126 Bladaff 0
46321.62061232424 Bladaff 0
46334.005404244715 Bladaff 0
46438.87847265475 Bladaff 0
46497.62497107496 Bladaff 0
46500.466605198635 Bladaff 0
46623.95966448624 Bladaff 0
46647.581277430916 Bladaff 0
46673.861366048244 Bladaff 0
46695.86977300544 Bladaff 0
46779.46817776437 Bladaff 0
46900.13687288457 Bladaff 0
46937.98115152181 Bladaff 0
46954.14706632417 Bladaff 0
47035.984445101305 Bladaff 0
47061.24002425465 Bladaff 0
47076.90384781386 Bladaff 0
47100.84488264434 Bladaff 0
47191.712459947055 Bladaff 0
47192.57273786082 Bladaff 0
47202.43554332815 Bladaff 0
47245.21834368494 Bladaff 0
47276.48819784553 Bladaff 0
47298.766162075124 Bladaff 0
47299.677439343584 Bladaff 0
47344.97428170962 Bladaff 0
47377.61252261552 Bladaff 0
47412.53013960587 Bladaff 0
47540.17107911582 Bladaff 0
47551.9327670919 Bladaff 0
47568.75311407606 Bladaff 0
47575.25199559781 Bladaff 0
47750.17668779108 Bladaff 0
47754.213404136084 Bladaff 0
47832.31650997132 Bladaff 0
47839.78092601852 Bladaff 0
47865.63102868261 Bladaff 0
47911.69752790164 Bladaff 0
47965.55733015529 Bladaff 0
48048.20115954632 Bladaff 0
48085.317945125855 Bladaff 0
48098.04319112901 Bladaff 0
48108.195163641954 Bladaff 0
48129.02824027395 Bladaff 0
48215.83265448131 Bladaff 0
48258.023180836826 Bladaff 0
48291.810694424516 Bladaff 0
48345.46890922252 Bladaff 0
48472.30787571472 Bladaff 0
48476.16275274136 Bladaff 0
48494.51489488324 Bladaff 0
48515.21856580325 Bladaff 0
48566.78682438928 Bladaff 0
48594.42234357309 Bladaff 0
48610.553178944356 Bladaff 0
48663.299891373754 Bladaff 0
48671.6873958289 Bladaff 0
48850.57088914702 Bladaff 0
48866.432149571294 Bladaff 0
48884.73719348737 Bladaff 0
48910.035927000376 Bladaff 0
48967.688765820785 Bladaff 0
48982.23553166469 Bladaff 0
49085.87020130803 Bladaff 0
49185.83858753257 Bladaff 0
49231.18251345679 Bladaff 0
49367.45060694651 Bladaff 0
49382.085305343135 Bladaff 0
49420.98381681584 Bladaff 0
49458.13983249577 Bladaff 0
49496.906799108096 Bladaff 0
49556.13217937439 Bladaff 0
49620.77012859767 Bladaff 0
49621.612014241706 Bladaff 0
49625.35854879009 Bladaff 0
49695.092431965 Bladaff 0
49698.190088877476 Bladaff 0
49728.29699537938 Bladaff 0
49789.698173352976 Bladaff 0
49821.86943874596 Bladaff 0
49831.9718530034 Bladaff 0
49834.19093282918 Bladaff 0
49847.44795100135 Bladaff 0
49847.73076374412 Bladaff 0
49868.9643550471 Bladaff 0
49872.06027847587 Bladaff 0
49958.94928673173 Bladaff 0
50001.428281272405 Bladaff 0
50031.87251622047 Bladaff 0
50037.62146750863 Bladaff 0
50062.69828021611 Bladaff 0
50094.59490367046 Bladaff 0
50128.758233577915 Bladaff 0
50165.700392295774 Bladaff 0
50265.158786700675 Bladaff 0
50298.68884433374 Bladaff 0
50304.08574911528 Bladaff 0
50366.061814743916 Bladaff 0
50511.84117555538 Bladaff 0
50526.856848841155 Bladaff 0
50533.760610916535 Bladaff 0
50676.80441598294 Bladaff 0
50718.76647453666 Bladaff 0
50736.41929964103 Bladaff 0
50745.92971741751 Bladaff 0
50786.89070099446 Bladaff 0
50830.94119050497 Bladaff 0
50931.53862451398 Bladaff 0
50969.0868578039 Bladaff 0
51024.45873583437 Bladaff 0
51087.24978298937 Bladaff 0
51096.36893460875 Bladaff 0
51124.86347841239 Bladaff 0
51128.56115975825 Bladaff 0
51168.4797448623 Bladaff 0
51174.414221142826 Bladaff 0
51188.16504233702 Bladaff 0
51196.65525224779 Bladaff 0
51231.078450429275 Bladaff 0
51254.9194869233 Bladaff 0
51322.067442314816 Bladaff 0
51374.16598033884 Bladaff 0
51471.73802695833 Bladaff 0
51476.7926710536 Bladaff 0
51479.1995737931 Bladaff 0
51534.15632403656 Bladaff 0
51540.53469072548 Bladaff 0
51544.62670809957 Bladaff 0
51560.17081301744 Bladaff 0
51615.87668577454 Bladaff 0
51676.54656373773 Bladaff 0
51682.2066023877 Bladaff 0
51685.1354292789 Bladaff 0
51736.650559371876 Bladaff 0
51799.65697293085 Bladaff 0
51848.894841204165 Bladaff 0
51850.75287370889 Bladaff 0
51914.41799979774 Bladaff 0
51960.958103269106 Bladaff 0
51963.33566356282 Bladaff 0
51992.66121947788 Bladaff 0
52037.44754390604 Bladaff 0
52061.97172205462 Bladaff 0
52160.05562398126 Bladaff 0
52164.09765134364 Bladaff 0
52238.10345285033 Bladaff 0
52266.09669359747 Bladaff 0
52348.861577005184 Bladaff 0
52350.70110536435 Bladaff 0
52359.328056342376 Bladaff 0
52455.415908488416 Bladaff 0
52468.646885083755 Bladaff 0
52519.392032747885 Bladaff 0
52589.086605642326 Bladaff 0
52598.90100580378 Bladaff 0
52600.19901025784 Bladaff 0
52665.617422995616 Bladaff 0
