timestamps population node_ids
1039.573342190391 PAGaff 20
1061.3771106310396 PAGaff 20
1088.392762178956 PAGaff 20
1137.5272896025228 PAGaff 20
1157.233073618653 PAGaff 20
1189.6279935423686 PAGaff 20
1400.3970753228623 PAGaff 20
1659.2236500060485 PAGaff 20
1810.009050447166 PAGaff 20
1912.0638276450995 PAGaff 20
1993.7592179852534 PAGaff 20
8001.69230466512 PAGaff 20
8035.10344235897 PAGaff 20
8069.488193586224 PAGaff 20
8077.329342916185 PAGaff 20
8077.8564392740045 PAGaff 20
8214.583577948291 PAGaff 20
8220.665068928276 PAGaff 20
8288.821271033521 PAGaff 20
8312.879295378994 PAGaff 20
8315.274636377171 PAGaff 20
8325.59585776065 PAGaff 20
8513.307977382643 PAGaff 20
8513.34215578663 PAGaff 20
8601.788180647538 PAGaff 20
8624.622765714146 PAGaff 20
8675.798758232417 PAGaff 20
8753.12430367289 PAGaff 20
8763.755920782922 PAGaff 20
13109.97200973212 PAGaff 20
13111.93600656408 PAGaff 20
13144.0778462001 PAGaff 20
13163.668915901097 PAGaff 20
13179.253081492614 PAGaff 20
13319.833634015687 PAGaff 20
13329.182246013042 PAGaff 20
13359.596313195994 PAGaff 20
13415.919327284226 PAGaff 20
13473.943579115125 PAGaff 20
13478.54684874195 PAGaff 20
13504.575432589234 PAGaff 20
13608.340435633194 PAGaff 20
13619.803210163316 PAGaff 20
13741.949222383293 PAGaff 20
13794.05908387212 PAGaff 20
13816.435611294632 PAGaff 20
13832.178774661297 PAGaff 20
13840.520596051005 PAGaff 20
13868.386388244731 PAGaff 20
15143.578954964678 PAGaff 20
15398.757787205264 PAGaff 20
15592.034185386145 PAGaff 20
15631.98329212008 PAGaff 20
15701.44611650393 PAGaff 20
15711.488232926062 PAGaff 20
15788.019371954531 PAGaff 20
15796.9912397958 PAGaff 20
15797.664256350656 PAGaff 20
15906.82120547511 PAGaff 20
15910.020790274502 PAGaff 20
15998.512314883965 PAGaff 20
17115.856718055365 PAGaff 20
17153.819416803213 PAGaff 20
17269.883472267742 PAGaff 20
17327.554451696924 PAGaff 20
